"city", "state", "population"
"Cody ","WY",9309
"Rock Falls ","IL",9307
"Alachua ","FL",9306
"Harahan ","LA",9306
"Waverly ","IA",9298
"Pryor Creek ","OK",9293
"Paris ","KY",9286
"Cameron ","MO",9279
"Shelton ","WA",9276
"Monticello ","AR",927
"Red Oak ","TX",9255
"Tipp City ","OH",9254
"Covington ","TN",9253
"Maysville ","KY",9246
"Corte Madera","CA",9245
"Independence ","KS",9245
"Elkhorn ","WI",9244
"Craig ","CO",9241
"Commerce ","TX",9238
"Bernalillo","NM",9237
"Damascus ","OR",9236
"Grovetown ","GA",9224
"Alma ","MI",9223
"Fairfield ","IA",9218
"Ellisville ","MO",9212
"Carbondale ","PA",9208
"Pitman","NJ",9206
"Oak Grove ","KY",9205
"Shepherdsville ","KY",9203
"Rifle ","CO",9202
"Thomaston ","GA",9191
"Fitzgerald ","GA",9185
"Highland Park","TX",9184
"Grinnell ","IA",9167
"Toppenish ","WA",9166
"Humboldt ","TN",9159
"Jerome ","ID",9157
"Covington ","LA",9155
"Toccoa ","GA",915
"Wharton ","TX",915
"Taft ","CA",9147
"Maywood","NJ",9145
"Economy","PA",9136
"Port Townsend ","WA",9133
"Sheffield ","AL",9127
"Le Mars ","IA",9127
"Trinidad ","CO",9125
"Cottage Grove ","OR",9124
"Port Jervis ","NY",9111
"Moundsville ","WV",9109
"Burley ","ID",9105
"Albion ","MI",9103
"Royse City ","TX",9101
"Coweta ","OK",9096
"Newark","NY",9096
"Ruidoso","NM",9096
"Richmond Heights ","MO",9093
"Essex Junction","VT",9056
"Beaver Falls ","PA",9055
"Glenwood Springs ","CO",9053
"Grantsville ","UT",9049
"Presque Isle ","ME",9045
"Orange Park","FL",9043
"Crete","IL",9041
"Ingleside ","TX",9039
"Glencoe","IL",9038
"Brewer ","ME",9035
"Lititz","PA",9034
"Avon Park ","FL",9033
"Elwood ","IN",9027
"Delta ","CO",902
"Lapeer ","MI",9018
"Bennettsville ","SC",9012
"Scott ","LA",901
"Minneola ","FL",9006
"West Point ","UT",9001
"Hondo ","TX",8992
"Socorro ","NM",8989
"Charlotte ","MI",8984
"Pulaski","VA",8983
"Andalusia ","AL",8978
"College Place ","WA",8978
"Stuttgart ","AR",8971
"Stallings","NC",897
"Malvern ","AR",8958
"Warrenton","VA",8947
"Brownfield ","TX",8947
"Hillsboro ","TX",8941
"Monett ","MO",8939
"Sweet Home ","OR",893
"Russellville ","AL",8918
"Park Ridge","NJ",8917
"Edgewood ","KY",891
"Sheffield Lake ","OH",8905
"Woodbury","NY",8904
"North Haledon","NJ",8904
"Heath ","OH",8903
"Clinton ","SC",8892
"Sitka  and","AK",8889
"Bath ","ME",8885
"Audubon","NJ",8883
"Saline ","MI",8882
"Lamesa ","TX",888
"Rockingham ","NC",888
"Malverne","NY",888
"La Plata","MD",8879
"Franklin ","VA",8877
"Waterford ","CA",8875
"Grants ","NM",8871
"Clinton ","NC",8868
"Farmingdale","NY",8865
"Park Hills ","MO",8851
"Hoquiam ","WA",8848
"Anaconda","MT",8843
"Chanute ","KS",8843
"Middletown","PA",8841
"Barre ","VT",8837
"Clanton ","AL",8836
"DeForest","WI",8835
"Sparta ","WI",8823
"Sandy ","OR",8823
"Norwalk ","IA",8821
"Holly Springs ","GA",8818
"Napoleon ","OH",8817
"Woodway ","TX",8814
"Aransas Pass ","TX",881
"Roscoe","IL",8807
"Oak Brook","IL",8803
"Springfield ","FL",8803
"Pewaukee","WI",8801
"Snohomish ","WA",8801
"Kaufman ","TX",8794
"Sturgeon Bay ","WI",8792
"Mount Pleasant ","IA",8775
"Flat Rock ","MI",8771
"Boonville ","MO",877
"Clinton ","OK",8768
"Cushing ","OK",8767
"Swissvale","PA",8765
"Mount Airy","MD",8761
"Brandon ","SD",8757
"Matawan","NJ",8754
"Booneville ","MS",8749
"Alamosa ","CO",8745
"Grand Rapids ","MN",8743
"Sallisaw ","OK",8742
"Rawlins ","WY",874
"Willowbrook","IL",8739
"Mechanicsburg","PA",8721
"Canonsburg","PA",8717
"Franklin ","NH",8713
"Lake Villa","IL",8709
"Chillicothe ","MO",8706
"Woods Cross ","UT",8705
"Paris ","IL",8699
"Burlington ","WA",8697
"Vernal ","UT",8696
"Florence ","OR",8694
"Augusta ","KS",8693
"Hartland","WI",8692
"Tiburon","CA",8676
"Lake Park","FL",8668
"Roxboro ","NC",8667
"Reedsburg ","WI",8666
"Shawano ","WI",8666
"Tomah ","WI",8664
"Closter","NJ",8659
"Milton ","FL",8656
"Quakertown","PA",8643
"Oxford ","NC",8641
"Perkasie","PA",8636
"Greenwood ","AR",8635
"Maplewood ","MO",8626
"Granbury ","TX",862
"Alexandria ","KY",862
"Itasca","IL",8617
"Cresskill","NJ",8615
"Grosse Pointe Farms ","MI",8614
"Tecumseh ","MI",861
"Cortez ","CO",8609
"Kirby ","TX",8606
"Alcoa ","TN",8606
"Smyrna","DE",8603
"Des Peres ","MO",8603
"Rayne ","LA",8601
"Kearney ","MO",8599
"Leonia","NJ",8597
"Centerton ","AR",8593
"Bridge City ","TX",8593
"Los Altos Hills","CA",8592
"Colonie","NY",8591
"Island Lake","IL",8588
"Clarendon Hills","IL",8582
"Clarksville ","AR",8579
"Pismo Beach ","CA",8573
"Siler City","NC",8564
"Manteno","IL",8562
"Madeira ","OH",8558
"Lock Haven ","PA",8541
"Willoughby Hills ","OH",854
"Gonzales ","CA",8537
"Highland Heights ","OH",8533
"Lewistown","PA",8528
"Fallon ","NV",8525
"Old Forge","PA",8524
"Yorktown","IN",8523
"Lynwood","IL",8519
"Haledon","NJ",8517
"Washington Terrace ","UT",8515
"Milford ","DE",8511
"Hornell ","NY",8508
"Delavan ","WI",8505
"Georgetown ","SC",8501
"Margate City ","NJ",8501
"Glenwood","IL",8489
"Holmen","WI",8487
"Plymouth ","MI",8487
"Virginia ","MN",848
"Graham ","TX",8479
"Thief River Falls ","MN",8472
"Westlake Village ","CA",8469
"Boonton","NJ",8469
"Connellsville ","PA",8468
"North Logan ","UT",8466
"St. Joseph ","MI",8458
"Upper Saddle River","NJ",8454
"River Rouge ","MI",8449
"Princeton ","IN",8447
"Oakwood ","OH",8439
"Johnstown ","NY",8438
"Wynne ","AR",8437
"Campbell ","OH",8436
"Guntersville ","AL",8422
"Dormont","PA",842
"Grimes ","IA",8419
"Pleasant Hill ","IA",8414
"Runnemede","NJ",841
"Conshohocken","PA",8409
"Olney ","IL",8407
"Southside ","AL",8407
"Lowell","IN",8405
"Santaquin ","UT",84
"Bradford ","PA",8391
"Absecon ","NJ",8389
"Orrville ","OH",8387
"Cheviot ","OH",8385
"Oberlin ","OH",8381
"Bastrop ","TX",8378
"Jerseyville ","IL",8373
"Lake Geneva ","WI",8371
"Collingdale","PA",8365
"West Haven ","UT",8357
"Wyoming ","OH",8355
"Boaz ","AL",8349
"Liberty ","TX",8347
"Latrobe ","PA",8347
"Brockport","NY",8342
"Hillside","IL",8341
"St. Anthony ","MN",8341
"Airmont","NY",8339
"West Long Branch","NJ",8339
"Sandpoint ","ID",8337
"Nevada ","MO",8327
"Ludington ","MI",8324
"Menominee ","MI",8324
"Corbin ","KY",8324
"Mount Rainier ","MD",8322
"Bryan ","OH",8314
"Indian Harbour Beach ","FL",8311
"Clay ","AL",8308
"Tuscumbia ","AL",8308
"Perryton ","TX",8304
"Eagle Point ","OR",8302
"Brooksville ","FL",8292
"Mentor-on-the-Lake ","OH",8288
"Columbia City ","IN",8283
"Wytheville","VA",8282
"Whitefish ","MT",8281
"Brazil ","IN",8272
"Riverside","IL",8272
"Baxter ","MN",8271
"New Richmond ","WI",8259
"Poteau ","OK",8258
"Rice Lake ","WI",8257
"Live Oak ","CA",8245
"Oak Grove ","MN",8245
"Plymouth ","WI",8241
"Chatham","NJ",8212
"Palmer ","AK",8201
"Fort Valley ","GA",82
"Dardenne Prairie ","MO",8197
"La Follette ","TN",8194
"Ladue ","MO",8193
"Harrodsburg ","KY",8192
"West Frankfort ","IL",819
"Sunset Hills ","MO",819
"Ville Platte ","LA",819
"Belgrade ","MT",8185
"Murphysboro ","IL",8184
"Oak Island","NC",818
"New Albany ","MS",8178
"Knightdale","NC",8174
"Perryville ","MO",8172
"University Park","IL",8171
"Olmsted Falls ","OH",8168
"Monroe","NY",8168
"Snoqualmie ","WA",8161
"Jefferson City ","TN",8156
"Greenville ","MI",8154
"Cloverdale ","CA",8153
"Poulsbo ","WA",8149
"Spotswood","NJ",8145
"Detroit Lakes ","MN",8141
"Oakdale ","LA",814
"St. Marys ","OH",8138
"Center Line ","MI",8135
"Spring Lake","NC",8133
"Frederick","CO",8127
"Riverdale ","UT",8126
"Danville","IN",8124
"Little Falls ","MN",8121
"Ashland ","WI",8118
"Butler","NJ",8118
"Firestone","CO",8117
"Fife ","WA",8114
"Doylestown","PA",8113
"Alliance ","NE",8109
"Miles City ","MT",8102
"Long Grove","IL",8101
"Mason ","MI",8099
"Newton","NJ",8096
"Richland Hills ","TX",8094
"Fairview","TX",8093
"Lakeland ","TN",8093
"Caribou ","ME",8093
"Winnemucca ","NV",8085
"Wagoner ","OK",8081
"Smithville ","MO",8079
"Trophy Club","TX",8069
"Hawthorn Woods","IL",8067
"Lincoln City ","OR",8066
"Harwood Heights","IL",8058
"Kenton ","OH",8052
"Bay St. Louis ","MS",8052
"Breaux Bridge ","LA",8047
"Bay Minette ","AL",8043
"Gettysburg","PA",804
"Price ","UT",8039
"Union ","SC",8039
"Seneca ","SC",8038
"Scotia","NY",8033
"Castle Shannon","PA",8028
"Mahtomedi ","MN",8025
"Monessen ","PA",8024
"Bluffdale ","UT",8016
"Ilion","NY",8015
"Port Jefferson","NY",8012
"Lenoir City ","TN",801
"Abingdon","VA",8009
"Eaton ","OH",8005
"White Oak","PA",8003
"Franklin ","KY",7997
"Holly Springs ","MS",7994
"Briarcliff Manor","NY",7986
"Calumet Park","IL",798
"Park City ","UT",798
"Bellevue","PA",798
"Philadelphia ","MS",7977
"West Dundee","IL",7975
"Lampasas ","TX",7975
"York ","SC",7967
"Ellwood City","PA",7966
"London ","KY",7962
"Lincolnshire","IL",796
"Cleveland ","TX",796
"Mapleton ","UT",7954
"Lamar ","CO",7953
"Port Orchard ","WA",7953
"Collegedale ","TN",7947
"Croton-on-Hudson","NY",7943
"Fort Scott ","KS",7941
"Downingtown","PA",7937
"Milan ","TN",7934
"Elsmere ","KY",7932
"Bridgeport ","WV",7928
"D'Iberville ","MS",7928
"Arab ","AL",7924
"Berlin","NJ",7922
"Carnegie","PA",792
"Hastings-on-Hudson","NY",7919
"Antigo ","WI",7917
"Bogota","NJ",7917
"Osceola ","AR",7914
"Jefferson ","GA",7911
"Rensselaer ","NY",7907
"Decorah ","IA",7906
"Rincon","GA",7905
"Unionville","NC",7899
"Sheboygan Falls ","WI",7895
"Angola ","IN",7894
"Brookhaven","PA",7886
"Northfield ","NJ",7885
"South Boston","VA",7884
"Hailey ","ID",7883
"Batesville ","MS",788
"North Bay Village ","FL",7878
"Black Mountain","NC",7877
"Chestnut Ridge","NY",7871
"Ivins ","UT",787
"Fairview ","TN",787
"York ","NE",787
"Vinton","VA",7868
"Winchester ","TN",7862
"Rolling Hills Estates ","CA",786
"Lexington ","TN",786
"Crescent City ","CA",7852
"Pulaski ","TN",7847
"Monona ","WI",7837
"Clarkston ","GA",7836
"Chester ","IL",7835
"Clairton ","PA",7832
"Helotes ","TX",7831
"Bellevue ","OH",7831
"Versailles ","KY",7828
"Jefferson ","WI",7822
"Hartsville","TN",7822
"Clear Lake ","IA",782
"Flushing ","MI",7815
"East Grand Forks ","MN",7812
"Lake Dallas ","TX",7811
"Rio Vista ","CA",7804
"Pecos ","TX",7804
"Heath ","TX",7793
"Crookston ","MN",779
"Blair ","NE",7789
"Corrales","NM",7787
"Park City ","KS",7787
"Oradell","NJ",778
"South Amboy ","NJ",7777
"Ojai ","CA",7775
"Silvis ","IL",777
"McFarland","WI",7767
"Broussard ","LA",7767
"Sanger ","TX",7766
"Iron Mountain ","MI",7763
"Hillsdale ","MI",7762
"Montpelier ","VT",776
"Fountain Inn ","SC",776
"Pleasant Hills","PA",7751
"Bernardsville","NJ",775
"Kenai ","AK",7742
"Wellington ","KS",7735
"Orono ","MN",7732
"Villa Hills ","KY",7727
"Whitehouse ","TX",7724
"Webster City ","IA",772
"Wetumpka ","AL",7719
"Frostburg ","MD",7719
"Grove City","PA",7715
"Old Town ","ME",7709
"Morehead ","KY",7707
"Geneseo","NY",7702
"Summerfield","NC",7693
"Cambridge ","MN",7692
"Hubbard ","OH",7688
"Franklin ","LA",768
"Gering ","NE",7679
"Northport","NY",7676
"Inverness","IL",7673
"Grand Ledge ","MI",7669
"Swainsboro ","GA",7667
"Dunbar ","WV",7664
"Pearsall ","TX",7663
"Dexter ","MO",7661
"Tallulah ","LA",7658
"Flatwoods ","KY",7655
"Branson ","MO",7651
"Stone Mountain ","GA",765
"Rhinelander ","WI",7649
"DuBois ","PA",7648
"Groveland ","FL",7647
"Floresville ","TX",7639
"Payette ","ID",7637
"Hyrum ","UT",7636
"Ripley ","TN",7636
"Broadview","IL",7625
"Wilson","PA",7625
"Fort Lupton ","CO",762
"Kenilworth","NJ",7619
"Huron ","CA",7606
"Calipatria ","CA",7594
"Creston ","IA",7594
"Haddon Heights","NJ",7589
"Wahpeton ","ND",7585
"Hales Corners","WI",7574
"Hillview ","KY",7572
"Bladensburg","MD",7568
"Montvale","NJ",7566
"Fort Mitchell ","KY",7562
"Navasota ","TX",7558
"Clayton","NJ",7553
"Grand Blanc ","MI",7551
"Pittston ","PA",7547
"LaFayette ","GA",7536
"Rogers ","MN",7536
"Donaldsonville ","LA",7527
"Tell City ","IN",7526
"Fort Stockton ","TX",7526
"Marengo ","IL",752
"Sebastopol ","CA",7518
"Newport ","TN",7515
"Livingston ","MT",75
"Princeton ","IL",7496
"Auburn ","GA",7496
"Lake Elmo ","MN",7484
"Ione ","CA",748
"Aurora ","MO",7478
"Keyport","NJ",7476
"Charles City ","IA",747
"Hartsville ","SC",7465
"Treasure Island ","FL",7455
"Calimesa ","CA",7454
"Bloomingdale","NJ",7454
"Wood-Ridge","NJ",7453
"Marble Falls ","TX",7451
"Olivette ","MO",7449
"Salem ","IL",7446
"Logan ","OH",7436
"McCook ","NE",7436
"Rockland ","ME",7436
"Atmore ","AL",7428
"Shorewood ","MN",7426
"Fruita ","CO",7418
"Woodlake ","CA",7418
"Atherton","CA",7406
"Mount Carmel ","IL",7404
"Newport ","AR",7404
"Mammoth Lakes","CA",7402
"Hempstead ","TX",7401
"Warrenton ","MO",7398
"Senatobia ","MS",7398
"Maryville","IL",7397
"Ripon ","WI",7396
"Farmville","VA",7396
"Greenville ","IL",7379
"Camp Hill","PA",7378
"Dayton ","TX",7371
"Kosciusko ","MS",7371
"Yreka ","CA",7368
"Shamokin ","PA",7367
"Kirtland ","OH",7362
"Chehalis ","WA",7361
"Alamo Heights ","TX",7353
"Jasper ","TX",7353
"Emerson","NJ",7353
"Demopolis ","AL",735
"Palmyra","NJ",735
"Huron ","OH",7348
"Ephrata ","WA",7344
"Millersville","PA",7341
"Sandwich ","IL",7337
"Atoka","TN",7334
"Carl Junction ","MO",7327
"Belen ","NM",7325
"Charlestown ","IN",7324
"Savannah ","TN",732
"Stayton ","OR",7319
"Longboat Key","FL",7309
"Gonzales ","TX",7298
"Raritan","NJ",7289
"Conover ","NC",7286
"Ketchikan ","AK",728
"Jersey Village ","TX",7279
"St. Johns ","MI",7278
"Inverness ","FL",7276
"Marshfield ","MO",7274
"Escalon ","CA",7271
"Pacific ","MO",7268
"Russellville ","KY",7268
"Lander ","WY",7264
"Rumson","NJ",7264
"Molalla ","OR",7263
"Amory ","MS",7262
"St. Francis ","MN",7261
"Seaford ","DE",726
"Richland ","MS",7258
"Knoxville ","IA",7254
"Washington ","IA",7254
"St. Albans ","VT",725
"Newcastle ","OK",725
"Mount Joy","PA",7249
"Baldwinsville","NY",7247
"Wauseon ","OH",7246
"Centerville ","GA",724
"Bloomfield ","NM",7234
"Mukwonago","WI",7232
"Southwest Ranches","FL",7229
"Dade City ","FL",7223
"Richfield ","UT",7217
"Linwood ","NJ",7216
"Live Oak ","FL",7215
"Oak Hill ","WV",7211
"Winthrop Harbor","IL",721
"Corning ","CA",7207
"Clarkston ","WA",7207
"Brighton ","MI",7204
"Heber Springs ","AR",7203
"Glenolden","PA",7203
"Bayville","NY",7202
"Hitchcock ","TX",7201
"Tolleson ","AZ",7199
"Globe ","AZ",7197
"Orland Hills","IL",7195
"Denison ","IA",7184
"Brentwood ","MO",7182
"Three Rivers ","MI",7179
"Pleasant Hill ","MO",7178
"Orland ","CA",7174
"Lowell ","AR",7173
"Forest City","NC",7172
"Cotati ","CA",7169
"Clewiston ","FL",7167
"Manhattan","IL",7166
"Fayetteville ","TN",7166
"Williston Park","NY",7162
"Crystal City ","TX",7161
"Bonner Springs ","KS",7161
"Sausalito ","CA",7158
"Clinton ","IL",7154
"Nappanee ","IN",7153
"Middletown ","KY",7147
"Pleasantville","NY",7146
"Blackwell ","OK",7144
"Caldwell","NJ",7133
"Selah ","WA",7126
"Hatboro","PA",7125
"Lanett ","AL",7121
"Marshall ","MI",7121
"Kennedale ","TX",7115
"Signal Mountain","TN",7109
"Sutherlin ","OR",7108
"Ellsworth ","ME",7103
"Ashland","VA",71
"New Albany","OH",7088
"Fanwood","NJ",7088
"Fairfax","CA",7066
"Austell ","GA",7062
"Elon","NC",706
"Prosper","TX",7053
"Pleasant View ","UT",7052
"North Caldwell","NJ",7051
"Stratford","NJ",7049
"New Cumberland","PA",7048
"La Junta ","CO",7046
"Moncks Corner","SC",7044
"Ocean City","MD",7042
"Oneonta ","AL",704
"Smithfield","VA",7034
"Camden ","SC",7033
"Dalhart ","TX",7032
"Nebraska City ","NE",7032
"Fairlawn ","OH",703
"Ambridge","PA",7024
"St. Martinville ","LA",7024
"La Feria ","TX",7023
"Greenville ","AL",7022
"Liberty Lake ","WA",7018
"Flowood ","MS",7016
"Gig Harbor ","WA",7008
"Lexington ","VA",7003
"Great Neck Plaza","NY",7001
"Bellbrook ","OH",7
"Palmyra","PA",6997
"Hudsonville ","MI",6997
"Mendota ","IL",6995
"Dunellen","NJ",6993
"Norwich ","NY",6992
"Mount Vernon ","IN",698
"Youngsville ","LA",698
"Ridley Park","PA",6979
"Winters ","CA",6977
"Trinity ","NC",6977
"Walden","NY",6977
"Elkins ","WV",6976
"Firebaugh ","CA",6972
"St. Louis ","MI",6971
"Herkimer","NY",697
"River Oaks ","TX",6965
"Milltown","NJ",6965
"Roeland Park ","KS",696
"Benton ","IL",6957
"Selma","NC",6948
"DuPont ","WA",6944
"Barrington","NJ",6939
"Page ","AZ",6928
"Kronenwetter","WI",6927
"Aztec ","NM",6927
"Hudson ","NY",6925
"Beebe ","AR",6921
"Mount Sterling ","KY",6921
"Fultondale ","AL",6918
"Sturtevant","WI",6913
"King ","NC",6906
"Plattsmouth ","NE",6902
"Houghton ","MI",6878
"Hood River ","OR",6877
"Walled Lake ","MI",6876
"Silsbee ","TX",687
"Santa Clara ","UT",6866
"Canfield ","OH",6862
"Quincy ","FL",6858
"Hastings ","MI",6858
"Bonne Terre ","MO",6854
"Oak Grove ","MO",6852
"Idabel ","OK",6851
"Thomson ","GA",6848
"Seward ","NE",6841
"Nyack","NY",6833
"Folcroft","PA",6823
"Rathdrum ","ID",6821
"Skiatook","OK",682
"Black Jack ","MO",6818
"Fox Point","WI",6816
"Crockett ","TX",6815
"Pinson ","AL",6813
"East Hills","NY",6809
"Galax ","VA",6808
"Seminole ","OK",6804
"Marion ","SC",6801
"Bel Aire ","KS",6797
"Waite Park ","MN",6796
"Loomis","CA",6795
"Trumann ","AR",6794
"Pineville","NC",6791
"Tremonton ","UT",6789
"Buda ","TX",6788
"Delafield ","WI",6787
"Milton ","WA",6786
"Perry ","FL",6785
"Nitro ","WV",6784
"Truth or Consequences ","NM",6784
"Neptune Beach ","FL",6781
"Atlantic ","IA",6777
"Arcadia ","FL",6771
"Dayton ","TN",6771
"Independence ","OH",677
"Church Hill ","TN",6765
"Midland Park","NJ",6763
"Huntingdon","PA",6759
"Jackson","WI",6755
"Altoona ","WI",6753
"Plaquemine ","LA",6751
"Blakely","PA",6747
"Boonville ","IN",6746
"Taylor Mill ","KY",6746
"New London ","WI",6745
"Johnsburg","IL",6734
"Delphos ","OH",673
"Sullivan ","MO",6726
"Warwick","NY",6724
"Belfast ","ME",6721
"Grafton","OH",6716
"Brevard ","NC",6716
"Pocahontas ","AR",6713
"New Prague ","MN",6712
"Devils Lake ","ND",6708
"Mount Horeb","WI",6703
"Mascoutah ","IL",6701
"Washington","NJ",6693
"Roanoke ","AL",6688
"Hiawatha ","IA",6688
"Nevada ","IA",6688
"Duquesne ","PA",6682
"West View","PA",6677
"Tecumseh ","OK",6667
"Darlington ","SC",6666
"Lake City ","SC",6666
"Irvington","NY",6666
"Braidwood ","IL",6664
"Franklin ","PA",6664
"Willard ","OH",6664
"Glen Ridge","NJ",6662
"Hillsboro ","OH",6661
"Harriman ","TN",6658
"Edinboro","PA",6655
"Martins Ferry ","OH",6654
"Carencro ","LA",6653
"Belle Plaine ","MN",6648
"Litchfield ","IL",6647
"Sweetwater ","TN",6645
"Hudson Falls","NY",6644
"Victoria ","MN",6643
"Kill Devil Hills","NC",6642
"Munford ","TN",6634
"Carthage ","TX",6633
"Seneca Falls","NY",6629
"Elsa ","TX",6624
"Wickenburg","AZ",662
"Union Beach","NJ",662
"Park City ","IL",6609
"Catoosa ","OK",6607
"Laurel ","MT",6605
"Fort Bragg ","CA",6604
"Louisville ","MS",6604
"Blanchard ","OK",6599
"Allendale","NJ",6599
"Pahokee ","FL",6598
"Guadalupe ","CA",6593
"Opp ","AL",6582
"Morrilton ","AR",6581
"Tamaqua","PA",6581
"Sioux Center ","IA",6581
"Gulf Breeze ","FL",658
"Avon","CO",6578
"Othello ","WA",6577
"Lawrence","NY",6573
"Gretna ","NE",6572
"North Syracuse","NY",657
"Larchmont","NY",6567
"Columbia ","MS",6567
"East Alton","IL",6563
"Litchfield ","MN",656
"Catasauqua","PA",6558
"Greenbrier","TN",6553
"Souderton","PA",6553
"New Paltz","NY",6553
"Mexia ","TX",6552
"Green Cove Springs ","FL",6551
"Mountainside","NJ",6551
"Clifton Heights","PA",6541
"Metropolis ","IL",654
"Attalla ","AL",654
"Providence ","UT",6538
"Leitchfield ","KY",6537
"Belpre ","OH",6528
"Valley Center ","KS",6521
"Monahans ","TX",6516
"Bronxville","NY",6516
"Childress ","TX",6513
"Salem ","IN",6502
"Watchung","NJ",6502
"Woodland Park ","CO",6501
"Tarrant ","AL",6499
"Sidney ","NE",6499
"Belle Isle ","FL",6497
"Tyrone","GA",6492
"Monticello","NY",649
"Archbald","PA",6488
"Madison ","SD",6482
"Milford","MI",6482
"Ishpeming ","MI",648
"Gridley ","CA",6478
"Manorhaven","NY",6478
"De Soto ","MO",6477
"Buena Vista ","VA",6471
"Bethel ","AK",6468
"Moraine ","OH",6467
"Raton ","NM",6465
"New Square","NY",6461
"Spring Lake Park ","MN",6458
"Rochester ","IN",6457
"Geneseo ","IL",6437
"Salem ","UT",6435
"Pelham","NY",6435
"Batesville ","IN",6434
"Estes Park","CO",6432
"Decatur ","TX",6432
"Winooski ","VT",6429
"Meadows Place ","TX",6427
"Oakmont","PA",6423
"Mahomet","IL",6422
"Milton-Freewater ","OR",6421
"Henderson ","TN",6418
"Riverdale Park","MD",6418
"Cuero ","TX",6417
"Solvay","NY",6417
"Pikeville ","KY",6413
"Fort Myers Beach","FL",641
"Rossford ","OH",6404
"Abilene ","KS",64
"Princeton ","KY",6398
"Pratt ","KS",6397
"Commerce ","GA",6394
"Hamilton ","AL",6393
"St. John ","MO",6381
"Scappoose ","OR",6377
"Prospect Park","PA",6374
"Eatonton ","GA",6373
"Monroeville ","AL",6372
"Cheverly","MD",6372
"Robinson ","IL",6369
"Fair Oaks Ranch ","TX",6367
"Jamesburg","NJ",6367
"Cortland ","OH",6364
"Upper Sandusky ","OH",6364
"Albertville ","MN",636
"Milton","PA",6359
"Somerset","PA",6359
"Emmett ","ID",6357
"Cherry Hills Village ","CO",6355
"Dillon ","SC",6353
"Keene ","TX",635
"Sellersburg","IN",6346
"Brier ","WA",6344
"Grove ","OK",6338
"Hurricane ","WV",6335
"Milford ","OH",6332
"Robbins","IL",6331
"Du Quoin ","IL",6326
"Islamorada Village of Islands","FL",6323
"Anadarko ","OK",6323
"Vandalia ","IL",6321
"Ponchatoula ","LA",632
"Hilton","NY",6319
"Hughson ","CA",6312
"Bedford ","VA",6312
"Corry ","PA",6307
"Grandview Heights ","OH",6306
"Glenarden ","MD",6306
"Hartford City ","IN",6302
"White Oak ","TX",6298
"North Vernon ","IN",6296
"Stroudsburg","PA",6294
"Lago Vista ","TX",6293
"Union ","OH",6293
"Geneva ","OH",6291
"Estherville ","IA",6291
"La Grange ","KY",6286
"Marianna ","FL",6284
"Cynthiana ","KY",6283
"Alpine ","TX",628
"Umatilla ","OR",628
"Millersville ","TN",6279
"Iowa Park ","TX",6276
"Gladewater ","TX",6275
"Sealy ","TX",6275
"Rittman ","OH",6274
"Valley Park ","MO",6274
"Holly","MI",6273
"Rensselaer ","IN",6271
"East Rochester","NY",6269
"Carbondale","CO",6266
"Willows ","CA",6266
"Mills River","NC",6266
"Rockaway","NJ",6263
"Princeton ","WV",6261
"Seaside ","OR",6258
"Horseheads","NY",6254
"California","PA",6252
"Manasquan","NJ",6251
"Walker","LA",6249
"Canal Winchester","OH",6248
"Kimberly","WI",6244
"Tuckahoe","NY",6244
"East Aurora","NY",6242
"Crete ","NE",6241
"North Riverside","IL",624
"Normandy Park ","WA",624
"Forest Hills","PA",624
"Shrewsbury ","MO",6235
"Orange Beach ","AL",6231
"Peoria Heights","IL",623
"Valley City ","ND",623
"Kodiak ","AK",6228
"Eudora ","KS",6226
"Lake Bluff","IL",6222
"Sandersville ","GA",6219
"St. Augustine Beach ","FL",6218
"Talent ","OR",6215
"Fircrest ","WA",6213
"Brookings ","OR",6213
"Norwood","NJ",6211
"Pigeon Forge ","TN",6204
"Livingston","TX",6203
"Ambler","PA",6196
"Lynchburg","TN",6195
"Orting ","WA",6188
"Round Lake Park","IL",6181
"Clearfield","PA",6173
"Butner","NC",6169
"South Weber ","UT",6167
"Cottage Grove","WI",6166
"Hillsboro ","IL",6164
"Monticello ","KY",6162
"Bartonville","IL",616
"Milliken","CO",6159
"Portland ","IN",6158
"Bellefonte","PA",6151
"Taylor","PA",6151
"Caruthersville ","MO",6145
"Cedarhurst","NY",6142
"Washingtonville","NY",6139
"Jackson ","OH",6138
"Port Clinton ","OH",6135
"Elm Grove","WI",6133
"Big Bear Lake ","CA",6131
"Purcell ","OK",6129
"Isanti ","MN",6123
"Wilmington ","IL",6122
"Seminole ","TX",6122
"Pauls Valley ","OK",6121
"Clyde ","OH",6121
"Covington ","VA",612
"Little Silver","NJ",6119
"Independence ","IA",6119
"Warren ","AR",6118
"Princeton ","TX",6117
"St. Joseph ","MN",6114
"Huntingburg ","IN",6112
"Manistee ","MI",611
"Crafton","PA",6109
"Greenville","PA",6103
"Gardiner ","ME",61
"Bridgeport ","TX",6099
"Ralston ","NE",6095
"Hobart","WI",6094
"Swarthmore","PA",609
"Stanwood ","WA",6089
"Aberdeen ","MS",6089
"Wharton","NJ",6083
"Oelwein ","IA",6082
"Pontoon Beach","IL",6081
"Canton","NY",6077
"Paulsboro","NJ",6075
"Mount Healthy ","OH",607
"Rushville ","IN",6068
"New Brighton","PA",6068
"Montevallo ","AL",6061
"Steilacoom","WA",6061
"Harrisville ","UT",606
"Vinita ","OK",6059
"Gypsum","CO",6052
"Ada","OH",6052
